region,year,acres
IA-Central,2010,1925000.0
IA-Central,2011,2010000.0
IA-Central,2012,2030000.0
IA-Central,2013,1920000.0
IA-Central,2014,1908000.0
IA-Central,2015,1899000.0
IA-Central,2016,2000000.0
IA-Central,2017,1907000.0
IA-Central,2018,1864000.0
IA-Central,2019,1939000.0
IA-EastCentral,2010,1375000.0
IA-EastCentral,2011,1455000.0
IA-EastCentral,2012,1416000.0
IA-EastCentral,2013,1380000.0
IA-EastCentral,2014,1366000.0
IA-EastCentral,2015,1362000.0
IA-EastCentral,2016,1393000.0
IA-EastCentral,2017,1371000.0
IA-EastCentral,2018,1361000.0
IA-EastCentral,2019,1325000.0
IA-NorthCentral,2010,1870000.0
IA-NorthCentral,2011,1970000.0
IA-NorthCentral,2012,1962000.0
IA-NorthCentral,2013,1695000.0
IA-NorthCentral,2014,1950000.0
IA-NorthCentral,2015,1834000.0
IA-NorthCentral,2016,1992000.0
IA-NorthCentral,2017,1838000.0
IA-NorthCentral,2018,1809000.0
IA-NorthCentral,2019,1874000.0
IA-Northeast,2010,1590000.0
IA-Northeast,2011,1695000.0
IA-Northeast,2012,1695000.0
IA-Northeast,2013,1530000.0
IA-Northeast,2014,1630000.0
IA-Northeast,2015,1603000.0
IA-Northeast,2016,1645000.0
IA-Northeast,2017,1582000.0
IA-Northeast,2018,1586000.0
IA-Northeast,2019,1635000.0
IA-Northwest,2010,1920000.0
IA-Northwest,2011,2005000.0
IA-Northwest,2012,1969000.0
IA-Northwest,2013,1955000.0
IA-Northwest,2014,1941000.0
IA-Northwest,2015,1891000.0
IA-Northwest,2016,1905000.0
IA-Northwest,2017,1890000.0
IA-Northwest,2018,1833000.0
IA-Northwest,2019,1844000.0
IA-SouthCentral,2010,510000.0
IA-SouthCentral,2011,565000.0
IA-SouthCentral,2012,540000.0
IA-SouthCentral,2013,540000.0
IA-SouthCentral,2014,536000.0
IA-SouthCentral,2015,545000.0
IA-SouthCentral,2016,542000.0
IA-SouthCentral,2017,500000.0
IA-SouthCentral,2018,501000.0
IA-SouthCentral,2019,507000.0
IA-Southeast,2010,870000.0
IA-Southeast,2011,900000.0
IA-Southeast,2012,908000.0
IA-Southeast,2013,875000.0
IA-Southeast,2014,903000.0
IA-Southeast,2015,895000.0
IA-Southeast,2016,912000.0
IA-Southeast,2017,887000.0
IA-Southeast,2018,874000.0
IA-Southeast,2019,864000.0
IA-Southwest,2010,1015000.0
IA-Southwest,2011,1030000.0
IA-Southwest,2012,1071000.0
IA-Southwest,2013,1075000.0
IA-Southwest,2014,1051000.0
IA-Southwest,2015,1037000.0
IA-Southwest,2016,1080000.0
IA-Southwest,2017,1020000.0
IA-Southwest,2018,1026000.0
IA-Southwest,2019,1002000.0
IA-WestCentral,2010,1975000.0
IA-WestCentral,2011,2070000.0
IA-WestCentral,2012,2109000.0
IA-WestCentral,2013,2080000.0
IA-WestCentral,2014,2015000.0
IA-WestCentral,2015,1984000.0
IA-WestCentral,2016,2031000.0
IA-WestCentral,2017,1905000.0
IA-WestCentral,2018,1896000.0
IA-WestCentral,2019,1960000.0
