region,year,acres
IL-Central,2010,1687000.0
IL-Central,2011,1723000.0
IL-Central,2012,1675000.0
IL-Central,2013,1621000.0
IL-Central,2014,1592000.0
IL-Central,2015,1555000.0
IL-Central,2016,1577000.0
IL-Central,2017,1485000.0
IL-Central,2018,1464000.0
IL-Central,2019,1493000.0
IL-East,2010,1699000.0
IL-East,2011,1741000.0
IL-East,2012,1699000.0
IL-East,2013,1674000.0
IL-East,2014,1621000.0
IL-East,2015,1610000.0
IL-East,2016,1586000.0
IL-East,2017,1545000.0
IL-East,2018,1532000.0
IL-East,2019,1447000.0
IL-EastSoutheast,2010,1618000.0
IL-EastSoutheast,2011,1544000.0
IL-EastSoutheast,2012,1531000.0
IL-EastSoutheast,2013,1493000.0
IL-EastSoutheast,2014,1559000.0
IL-EastSoutheast,2015,1524000.0
IL-EastSoutheast,2016,1468000.0
IL-EastSoutheast,2017,1456000.0
IL-EastSoutheast,2018,1405000.0
IL-EastSoutheast,2019,1394000.0
IL-Northeast,2010,1137000.0
IL-Northeast,2011,1185000.0
IL-Northeast,2012,1153000.0
IL-Northeast,2013,1135000.0
IL-Northeast,2014,1038000.0
IL-Northeast,2015,1034000.0
IL-Northeast,2016,1020000.0
IL-Northeast,2017,974000.0
IL-Northeast,2018,991000.0
IL-Northeast,2019,799000.0
IL-Northwest,2010,2071000.0
IL-Northwest,2011,2136000.0
IL-Northwest,2012,2090000.0
IL-Northwest,2013,2050000.0
IL-Northwest,2014,1972000.0
IL-Northwest,2015,1935000.0
IL-Northwest,2016,1947000.0
IL-Northwest,2017,1865000.0
IL-Northwest,2018,1862000.0
IL-Northwest,2019,1691000.0
IL-Southeast,2010,649000.0
IL-Southeast,2011,565000.0
IL-Southeast,2012,627000.0
IL-Southeast,2013,585000.0
IL-Southeast,2014,618000.0
IL-Southeast,2015,578000.0
IL-Southeast,2016,542000.0
IL-Southeast,2017,559000.0
IL-Southeast,2018,534000.0
IL-Southeast,2019,463000.0
IL-Southwest,2010,588000.0
IL-Southwest,2011,494000.0
IL-Southwest,2012,547000.0
IL-Southwest,2013,522000.0
IL-Southwest,2014,564000.0
IL-Southwest,2015,511000.0
IL-Southwest,2016,537000.0
IL-Southwest,2017,489000.0
IL-Southwest,2018,489000.0
IL-Southwest,2019,435000.0
IL-West,2010,1193000.0
IL-West,2011,1208000.0
IL-West,2012,1201000.0
IL-West,2013,1120000.0
IL-West,2014,1132000.0
IL-West,2015,1126000.0
IL-West,2016,1135000.0
IL-West,2017,1069000.0
IL-West,2018,1073000.0
IL-West,2019,1023000.0
IL-WestSouthwest,2010,1758000.0
IL-WestSouthwest,2011,1754000.0
IL-WestSouthwest,2012,1727000.0
IL-WestSouthwest,2013,1600000.0
IL-WestSouthwest,2014,1654000.0
IL-WestSouthwest,2015,1627000.0
IL-WestSouthwest,2016,1638000.0
IL-WestSouthwest,2017,1508000.0
IL-WestSouthwest,2018,1450000.0
IL-WestSouthwest,2019,1455000.0
