region,year,acres
IN-Central,2010,1147000.0
IN-Central,2011,1172000.0
IN-Central,2012,1204000.0
IN-Central,2013,1160000.0
IN-Central,2014,1160000.0
IN-Central,2015,1099000.0
IN-Central,2016,1099000.0
IN-Central,2017,1030000.0
IN-Central,2018,1025000.0
IN-Central,2019,925000.0
IN-EastCentral,2010,482000.0
IN-EastCentral,2011,473000.0
IN-EastCentral,2012,508000.0
IN-EastCentral,2013,495000.0
IN-EastCentral,2014,490000.0
IN-EastCentral,2015,457000.0
IN-EastCentral,2016,480000.0
IN-EastCentral,2017,445000.0
IN-EastCentral,2018,454000.0
IN-EastCentral,2019,391000.0
IN-NorthCentral,2010,747000.0
IN-NorthCentral,2011,769000.0
IN-NorthCentral,2012,788000.0
IN-NorthCentral,2013,780000.0
IN-NorthCentral,2014,745000.0
IN-NorthCentral,2015,727000.0
IN-NorthCentral,2016,721000.0
IN-NorthCentral,2017,680000.0
IN-NorthCentral,2018,675000.0
IN-NorthCentral,2019,663000.0
IN-Northeast,2010,504000.0
IN-Northeast,2011,529000.0
IN-Northeast,2012,560000.0
IN-Northeast,2013,555000.0
IN-Northeast,2014,538000.0
IN-Northeast,2015,506000.0
IN-Northeast,2016,513000.0
IN-Northeast,2017,475000.0
IN-Northeast,2018,485000.0
IN-Northeast,2019,401000.0
IN-Northwest,2010,963000.0
IN-Northwest,2011,968000.0
IN-Northwest,2012,1006000.0
IN-Northwest,2013,1020000.0
IN-Northwest,2014,977000.0
IN-Northwest,2015,912000.0
IN-Northwest,2016,903000.0
IN-Northwest,2017,870000.0
IN-Northwest,2018,835000.0
IN-Northwest,2019,816000.0
IN-SouthCentral,2010,193000.0
IN-SouthCentral,2011,201000.0
IN-SouthCentral,2012,210000.0
IN-SouthCentral,2013,210000.0
IN-SouthCentral,2014,204000.0
IN-SouthCentral,2015,203000.0
IN-SouthCentral,2016,189000.0
IN-SouthCentral,2017,176000.0
IN-SouthCentral,2018,174000.0
IN-SouthCentral,2019,166000.0
IN-Southeast,2010,189000.0
IN-Southeast,2011,189000.0
IN-Southeast,2012,196000.0
IN-Southeast,2013,195000.0
IN-Southeast,2014,191000.0
IN-Southeast,2015,180000.0
IN-Southeast,2016,158000.0
IN-Southeast,2017,159000.0
IN-Southeast,2018,154000.0
IN-Southeast,2019,138000.0
IN-Southwest,2010,774000.0
IN-Southwest,2011,733000.0
IN-Southwest,2012,813000.0
IN-Southwest,2013,710000.0
IN-Southwest,2014,745000.0
IN-Southwest,2015,715000.0
IN-Southwest,2016,705000.0
IN-Southwest,2017,700000.0
IN-Southwest,2018,668000.0
IN-Southwest,2019,624000.0
IN-WestCentral,2010,721000.0
IN-WestCentral,2011,716000.0
IN-WestCentral,2012,745000.0
IN-WestCentral,2013,705000.0
IN-WestCentral,2014,720000.0
IN-WestCentral,2015,681000.0
IN-WestCentral,2016,702000.0
IN-WestCentral,2017,665000.0
IN-WestCentral,2018,650000.0
IN-WestCentral,2019,646000.0
