region,year,acres
KS-Central,2010,205000.0
KS-Central,2011,165000.0
KS-Central,2012,138000.0
KS-Central,2013,174000.0
KS-Central,2014,185800.0
KS-Central,2015,190600.0
KS-Central,2016,238500.0
KS-Central,2017,264300.0
KS-Central,2018,199600.0
KS-Central,2019,264000.0
KS-EastCentral,2010,340000.0
KS-EastCentral,2011,350000.0
KS-EastCentral,2012,310000.0
KS-EastCentral,2013,325000.0
KS-EastCentral,2014,326200.0
KS-EastCentral,2015,317000.0
KS-EastCentral,2016,374800.0
KS-EastCentral,2017,338800.0
KS-EastCentral,2018,303100.0
KS-EastCentral,2019,317000.0
KS-NorthCentral,2010,365000.0
KS-NorthCentral,2011,380000.0
KS-NorthCentral,2012,333000.0
KS-NorthCentral,2013,306000.0
KS-NorthCentral,2014,308600.0
KS-NorthCentral,2015,300100.0
KS-NorthCentral,2016,438700.0
KS-NorthCentral,2017,587500.0
KS-NorthCentral,2018,544200.0
KS-NorthCentral,2019,684000.0
KS-Northeast,2010,580000.0
KS-Northeast,2011,615000.0
KS-Northeast,2012,624000.0
KS-Northeast,2013,657000.0
KS-Northeast,2014,627100.0
KS-Northeast,2015,611000.0
KS-Northeast,2016,704600.0
KS-Northeast,2017,639900.0
KS-Northeast,2018,641200.0
KS-Northeast,2019,669000.0
KS-Northwest,2010,920000.0
KS-Northwest,2011,860000.0
KS-Northwest,2012,730000.0
KS-Northwest,2013,695000.0
KS-Northwest,2014,621000.0
KS-Northwest,2015,675500.0
KS-Northwest,2016,912000.0
KS-Northwest,2017,968500.0
KS-Northwest,2018,1040500.0
KS-Northwest,2019,1251000.0
KS-SouthCentral,2010,490000.0
KS-SouthCentral,2011,350000.0
KS-SouthCentral,2012,402000.0
KS-SouthCentral,2013,470000.0
KS-SouthCentral,2014,433500.0
KS-SouthCentral,2015,458800.0
KS-SouthCentral,2016,550500.0
KS-SouthCentral,2017,471000.0
KS-SouthCentral,2018,446000.0
KS-SouthCentral,2019,538000.0
KS-Southeast,2010,410000.0
KS-Southeast,2011,410000.0
KS-Southeast,2012,426000.0
KS-Southeast,2013,381000.0
KS-Southeast,2014,410100.0
KS-Southeast,2015,395300.0
KS-Southeast,2016,454600.0
KS-Southeast,2017,407000.0
KS-Southeast,2018,415600.0
KS-Southeast,2019,387000.0
KS-Southwest,2010,885000.0
KS-Southwest,2011,690000.0
KS-Southwest,2012,694000.0
KS-Southwest,2013,669000.0
KS-Southwest,2014,631500.0
KS-Southwest,2015,663300.0
KS-Southwest,2016,804000.0
KS-Southwest,2017,950000.0
KS-Southwest,2018,797000.0
KS-Southwest,2019,1108000.0
KS-WestCentral,2010,455000.0
KS-WestCentral,2011,380000.0
KS-WestCentral,2012,293000.0
KS-WestCentral,2013,323000.0
KS-WestCentral,2014,256200.0
KS-WestCentral,2015,308400.0
KS-WestCentral,2016,442300.0
KS-WestCentral,2017,573000.0
KS-WestCentral,2018,592800.0
KS-WestCentral,2019,802000.0
