region,year,acres
MI-Central,2010,223000.0
MI-Central,2011,242000.0
MI-Central,2012,266000.0
MI-Central,2013,255000.0
MI-Central,2014,245000.0
MI-Central,2015,225000.0
MI-Central,2016,220000.0
MI-Central,2017,213000.0
MI-Central,2018,202000.0
MI-Central,2019,200000.0
MI-EastCentral,2010,409000.0
MI-EastCentral,2011,422000.0
MI-EastCentral,2012,462000.0
MI-EastCentral,2013,440000.0
MI-EastCentral,2014,415000.0
MI-EastCentral,2015,400000.0
MI-EastCentral,2016,384000.0
MI-EastCentral,2017,360000.0
MI-EastCentral,2018,359000.0
MI-EastCentral,2019,345000.0
MI-Northeast,2010,26500.0
MI-Northeast,2011,27000.0
MI-Northeast,2012,36000.0
MI-Northeast,2014,31000.0
MI-Northeast,2015,27000.0
MI-Northeast,2016,29000.0
MI-Northeast,2017,28000.0
MI-Northeast,2018,26000.0
MI-Northeast,2019,26000.0
MI-Northwest,2010,29000.0
MI-Northwest,2011,33000.0
MI-Northwest,2012,32000.0
MI-Northwest,2013,30000.0
MI-Northwest,2014,34000.0
MI-Northwest,2015,30000.0
MI-Northwest,2016,20000.0
MI-Northwest,2017,25000.0
MI-Northwest,2019,17000.0
"MI-OtherDistricts,AllCounties",2013,45000.0
"MI-OtherDistricts,AllCounties",2018,29000.0
MI-SouthCentral,2010,676000.0
MI-SouthCentral,2011,678000.0
MI-SouthCentral,2012,746000.0
MI-SouthCentral,2013,710000.0
MI-SouthCentral,2014,700000.0
MI-SouthCentral,2015,670000.0
MI-SouthCentral,2016,680000.0
MI-SouthCentral,2017,615000.0
MI-SouthCentral,2018,610000.0
MI-SouthCentral,2019,515000.0
MI-Southeast,2010,303000.0
MI-Southeast,2011,317000.0
MI-Southeast,2012,363000.0
MI-Southeast,2013,335000.0
MI-Southeast,2014,325000.0
MI-Southeast,2015,305000.0
MI-Southeast,2016,305000.0
MI-Southeast,2017,280000.0
MI-Southeast,2018,285000.0
MI-Southeast,2019,150000.0
MI-Southwest,2010,364000.0
MI-Southwest,2011,391000.0
MI-Southwest,2012,390000.0
MI-Southwest,2013,355000.0
MI-Southwest,2014,385000.0
MI-Southwest,2015,350000.0
MI-Southwest,2016,345000.0
MI-Southwest,2017,315000.0
MI-Southwest,2018,305000.0
MI-Southwest,2019,310000.0
MI-UpperPeninsula,2010,11500.0
MI-UpperPeninsula,2011,12000.0
MI-UpperPeninsula,2012,17000.0
MI-UpperPeninsula,2014,11000.0
MI-UpperPeninsula,2015,9000.0
MI-UpperPeninsula,2016,10000.0
MI-UpperPeninsula,2017,7000.0
MI-UpperPeninsula,2019,7000.0
MI-WestCentral,2010,58000.0
MI-WestCentral,2011,68000.0
MI-WestCentral,2012,68000.0
MI-WestCentral,2013,60000.0
MI-WestCentral,2014,64000.0
MI-WestCentral,2015,54000.0
MI-WestCentral,2016,47000.0
MI-WestCentral,2017,47000.0
MI-WestCentral,2018,44000.0
MI-WestCentral,2019,40000.0
