region,year,acres
OH-Central,2010,680000.0
OH-Central,2011,662000.0
OH-Central,2012,770000.0
OH-Central,2013,782000.0
OH-Central,2014,719000.0
OH-Central,2015,680000.0
OH-Central,2016,705000.0
OH-Central,2017,670000.0
OH-Central,2018,695000.0
OH-Central,2019,650000.0
OH-EastCentral,2010,72000.0
OH-EastCentral,2011,80100.0
OH-EastCentral,2012,73000.0
OH-EastCentral,2013,80000.0
OH-EastCentral,2014,71000.0
OH-EastCentral,2015,70000.0
OH-EastCentral,2016,66000.0
OH-EastCentral,2017,70000.0
OH-EastCentral,2018,70000.0
OH-EastCentral,2019,69000.0
OH-NorthCentral,2010,499500.0
OH-NorthCentral,2011,456000.0
OH-NorthCentral,2012,565000.0
OH-NorthCentral,2013,577000.0
OH-NorthCentral,2014,516000.0
OH-NorthCentral,2015,485000.0
OH-NorthCentral,2016,500000.0
OH-NorthCentral,2017,454000.0
OH-NorthCentral,2018,495000.0
OH-NorthCentral,2019,350000.0
OH-Northeast,2010,179900.0
OH-Northeast,2011,178500.0
OH-Northeast,2012,175000.0
OH-Northeast,2013,206000.0
OH-Northeast,2014,171000.0
OH-Northeast,2015,165000.0
OH-Northeast,2016,150000.0
OH-Northeast,2017,145000.0
OH-Northeast,2018,150000.0
OH-Northeast,2019,153000.0
OH-Northwest,2010,689000.0
OH-Northwest,2011,686000.0
OH-Northwest,2012,790000.0
OH-Northwest,2013,787000.0
OH-Northwest,2014,762000.0
OH-Northwest,2015,710000.0
OH-Northwest,2016,705000.0
OH-Northwest,2017,680000.0
OH-Northwest,2018,735000.0
OH-Northwest,2019,300000.0
OH-SouthCentral,2010,90600.0
OH-SouthCentral,2011,89600.0
OH-SouthCentral,2012,115000.0
OH-SouthCentral,2013,120000.0
OH-SouthCentral,2014,110000.0
OH-SouthCentral,2015,97000.0
OH-SouthCentral,2016,94000.0
OH-SouthCentral,2017,96000.0
OH-SouthCentral,2018,95000.0
OH-SouthCentral,2019,103000.0
OH-Southeast,2010,56000.0
OH-Southeast,2011,59800.0
OH-Southeast,2012,62000.0
OH-Southeast,2013,70000.0
OH-Southeast,2014,64000.0
OH-Southeast,2015,53000.0
OH-Southeast,2016,55000.0
OH-Southeast,2017,55000.0
OH-Southeast,2018,55000.0
OH-Southeast,2019,59000.0
OH-Southwest,2010,305000.0
OH-Southwest,2011,307000.0
OH-Southwest,2012,335000.0
OH-Southwest,2013,336000.0
OH-Southwest,2014,315000.0
OH-Southwest,2015,290000.0
OH-Southwest,2016,300000.0
OH-Southwest,2017,280000.0
OH-Southwest,2018,290000.0
OH-Southwest,2019,306000.0
OH-WestCentral,2010,698000.0
OH-WestCentral,2011,681000.0
OH-WestCentral,2012,765000.0
OH-WestCentral,2013,782000.0
OH-WestCentral,2014,752000.0
OH-WestCentral,2015,710000.0
OH-WestCentral,2016,725000.0
OH-WestCentral,2017,700000.0
OH-WestCentral,2018,715000.0
OH-WestCentral,2019,580000.0
