region,year,yield_bu_acre
IA-Central,2010,167.5
IA-Central,2011,175.1
IA-Central,2012,151.3
IA-Central,2013,152.2
IA-Central,2014,182.4
IA-Central,2015,194.8
IA-Central,2016,207.5
IA-Central,2017,205.6
IA-Central,2018,205.2
IA-Central,2019,202.1
IA-EastCentral,2010,165.3
IA-EastCentral,2011,172.3
IA-EastCentral,2012,134.7
IA-EastCentral,2013,173.2
IA-EastCentral,2014,186.9
IA-EastCentral,2015,189.1
IA-EastCentral,2016,205.5
IA-EastCentral,2017,214.9
IA-EastCentral,2018,212.6
IA-EastCentral,2019,195.5
IA-NorthCentral,2010,175.6
IA-NorthCentral,2011,181.3
IA-NorthCentral,2012,143.9
IA-NorthCentral,2013,167.1
IA-NorthCentral,2014,171.9
IA-NorthCentral,2015,198.9
IA-NorthCentral,2016,200.9
IA-NorthCentral,2017,206.1
IA-NorthCentral,2018,185.7
IA-NorthCentral,2019,198.6
IA-Northeast,2010,175.9
IA-Northeast,2011,186.6
IA-Northeast,2012,139.6
IA-Northeast,2013,176.6
IA-Northeast,2014,170.2
IA-Northeast,2015,194.0
IA-Northeast,2016,206.5
IA-Northeast,2017,208.9
IA-Northeast,2018,204.3
IA-Northeast,2019,205.4
IA-Northwest,2010,184.7
IA-Northwest,2011,177.7
IA-Northwest,2012,154.8
IA-Northwest,2013,178.6
IA-Northwest,2014,175.3
IA-Northwest,2015,202.5
IA-Northwest,2016,205.5
IA-Northwest,2017,203.4
IA-Northwest,2018,188.4
IA-Northwest,2019,195.3
IA-SouthCentral,2010,98.0
IA-SouthCentral,2011,129.6
IA-SouthCentral,2012,84.8
IA-SouthCentral,2013,133.5
IA-SouthCentral,2014,169.5
IA-SouthCentral,2015,163.2
IA-SouthCentral,2016,182.8
IA-SouthCentral,2017,159.9
IA-SouthCentral,2018,165.3
IA-SouthCentral,2019,161.0
IA-Southeast,2010,111.4
IA-Southeast,2011,137.3
IA-Southeast,2012,122.1
IA-Southeast,2013,156.4
IA-Southeast,2014,193.6
IA-Southeast,2015,175.0
IA-Southeast,2016,201.4
IA-Southeast,2017,182.2
IA-Southeast,2018,198.4
IA-Southeast,2019,174.9
IA-Southwest,2010,151.9
IA-Southwest,2011,157.5
IA-Southwest,2012,121.1
IA-Southwest,2013,159.2
IA-Southwest,2014,175.4
IA-Southwest,2015,183.9
IA-Southwest,2016,191.1
IA-Southwest,2017,191.7
IA-Southwest,2018,182.1
IA-Southwest,2019,194.2
IA-WestCentral,2010,172.1
IA-WestCentral,2011,176.3
IA-WestCentral,2012,127.4
IA-WestCentral,2013,156.8
IA-WestCentral,2014,179.2
IA-WestCentral,2015,193.1
IA-WestCentral,2016,206.2
IA-WestCentral,2017,203.9
IA-WestCentral,2018,199.9
IA-WestCentral,2019,213.1
