region,year,yield_bu_acre
IL-Central,2010,162.0
IL-Central,2011,167.7
IL-Central,2012,116.5
IL-Central,2013,187.8
IL-Central,2014,218.5
IL-Central,2015,191.8
IL-Central,2016,218.6
IL-Central,2017,219.1
IL-Central,2018,227.6
IL-Central,2019,194.8
IL-East,2010,158.2
IL-East,2011,154.2
IL-East,2012,101.4
IL-East,2013,174.4
IL-East,2014,202.6
IL-East,2015,160.8
IL-East,2016,205.3
IL-East,2017,204.1
IL-East,2018,208.4
IL-East,2019,172.3
IL-EastSoutheast,2010,157.5
IL-EastSoutheast,2011,145.5
IL-EastSoutheast,2012,61.3
IL-EastSoutheast,2013,169.9
IL-EastSoutheast,2014,196.9
IL-EastSoutheast,2015,167.9
IL-EastSoutheast,2016,177.5
IL-EastSoutheast,2017,184.3
IL-EastSoutheast,2018,213.3
IL-EastSoutheast,2019,170.5
IL-Northeast,2010,169.0
IL-Northeast,2011,173.6
IL-Northeast,2012,131.4
IL-Northeast,2013,182.2
IL-Northeast,2014,192.9
IL-Northeast,2015,178.1
IL-Northeast,2016,205.8
IL-Northeast,2017,200.2
IL-Northeast,2018,199.0
IL-Northeast,2019,176.3
IL-Northwest,2010,170.1
IL-Northwest,2011,173.3
IL-Northwest,2012,139.5
IL-Northwest,2013,182.4
IL-Northwest,2014,190.5
IL-Northwest,2015,191.9
IL-Northwest,2016,209.4
IL-Northwest,2017,213.7
IL-Northwest,2018,211.7
IL-Northwest,2019,188.5
IL-Southeast,2010,138.3
IL-Southeast,2011,130.8
IL-Southeast,2012,49.6
IL-Southeast,2013,169.1
IL-Southeast,2014,181.9
IL-Southeast,2015,154.1
IL-Southeast,2016,136.9
IL-Southeast,2017,169.2
IL-Southeast,2018,166.7
IL-Southeast,2019,152.4
IL-Southwest,2010,140.8
IL-Southwest,2011,121.0
IL-Southwest,2012,42.9
IL-Southwest,2013,157.6
IL-Southwest,2014,177.5
IL-Southwest,2015,155.2
IL-Southwest,2016,141.7
IL-Southwest,2017,147.5
IL-Southwest,2018,175.1
IL-Southwest,2019,162.8
IL-West,2010,137.8
IL-West,2011,154.8
IL-West,2012,129.9
IL-West,2013,177.6
IL-West,2014,207.7
IL-West,2015,181.0
IL-West,2016,207.7
IL-West,2017,217.3
IL-West,2018,221.3
IL-West,2019,181.9
IL-WestSouthwest,2010,152.7
IL-WestSouthwest,2011,148.4
IL-WestSouthwest,2012,99.1
IL-WestSouthwest,2013,181.0
IL-WestSouthwest,2014,207.4
IL-WestSouthwest,2015,167.1
IL-WestSouthwest,2016,196.0
IL-WestSouthwest,2017,198.6
IL-WestSouthwest,2018,215.3
IL-WestSouthwest,2019,193.3
