region,year,yield_bu_acre
KS-Central,2010,110.5
KS-Central,2011,72.7
KS-Central,2012,86.5
KS-Central,2013,115.9
KS-Central,2014,127.2
KS-Central,2015,132.0
KS-Central,2016,131.6
KS-Central,2017,99.9
KS-Central,2018,112.6
KS-Central,2019,110.5
KS-EastCentral,2010,89.1
KS-EastCentral,2011,57.0
KS-EastCentral,2012,46.4
KS-EastCentral,2013,108.1
KS-EastCentral,2014,136.5
KS-EastCentral,2015,134.1
KS-EastCentral,2016,126.1
KS-EastCentral,2017,131.5
KS-EastCentral,2018,93.8
KS-EastCentral,2019,118.1
KS-NorthCentral,2010,114.2
KS-NorthCentral,2011,118.4
KS-NorthCentral,2012,88.3
KS-NorthCentral,2013,124.7
KS-NorthCentral,2014,132.7
KS-NorthCentral,2015,149.7
KS-NorthCentral,2016,142.1
KS-NorthCentral,2017,125.1
KS-NorthCentral,2018,130.5
KS-NorthCentral,2019,132.6
KS-Northeast,2010,115.9
KS-Northeast,2011,133.5
KS-Northeast,2012,84.9
KS-Northeast,2013,147.0
KS-Northeast,2014,165.1
KS-Northeast,2015,158.3
KS-Northeast,2016,151.5
KS-Northeast,2017,129.5
KS-Northeast,2018,119.3
KS-Northeast,2019,153.7
KS-Northwest,2010,114.7
KS-Northwest,2011,110.5
KS-Northwest,2012,74.6
KS-Northwest,2013,86.6
KS-Northwest,2014,115.6
KS-Northwest,2015,118.8
KS-Northwest,2016,127.4
KS-Northwest,2017,129.5
KS-Northwest,2018,126.6
KS-Northwest,2019,127.7
KS-SouthCentral,2010,136.2
KS-SouthCentral,2011,117.0
KS-SouthCentral,2012,125.1
KS-SouthCentral,2013,144.4
KS-SouthCentral,2014,165.2
KS-SouthCentral,2015,155.5
KS-SouthCentral,2016,139.9
KS-SouthCentral,2017,131.8
KS-SouthCentral,2018,152.6
KS-SouthCentral,2019,136.5
KS-Southeast,2010,105.6
KS-Southeast,2011,30.0
KS-Southeast,2012,54.2
KS-Southeast,2013,77.7
KS-Southeast,2014,142.7
KS-Southeast,2015,120.0
KS-Southeast,2016,129.1
KS-Southeast,2017,117.8
KS-Southeast,2018,104.5
KS-Southeast,2019,116.8
KS-Southwest,2010,170.7
KS-Southwest,2011,149.5
KS-Southwest,2012,170.2
KS-Southwest,2013,191.2
KS-Southwest,2014,192.0
KS-Southwest,2015,201.2
KS-Southwest,2016,179.6
KS-Southwest,2017,163.9
KS-Southwest,2018,169.7
KS-Southwest,2019,158.0
KS-WestCentral,2010,105.6
KS-WestCentral,2011,102.5
KS-WestCentral,2012,70.4
KS-WestCentral,2013,87.8
KS-WestCentral,2014,118.3
KS-WestCentral,2015,124.3
KS-WestCentral,2016,123.5
KS-WestCentral,2017,118.5
KS-WestCentral,2018,110.6
KS-WestCentral,2019,108.6
