region,year,yield_bu_acre
MI-Central,2010,143.0
MI-Central,2011,150.0
MI-Central,2012,156.0
MI-Central,2013,142.5
MI-Central,2014,150.2
MI-Central,2015,158.2
MI-Central,2016,155.9
MI-Central,2017,147.9
MI-Central,2018,151.0
MI-Central,2019,142.0
MI-EastCentral,2010,155.0
MI-EastCentral,2011,162.0
MI-EastCentral,2012,155.1
MI-EastCentral,2013,158.9
MI-EastCentral,2014,171.6
MI-EastCentral,2015,182.0
MI-EastCentral,2016,171.4
MI-EastCentral,2017,176.1
MI-EastCentral,2018,171.6
MI-EastCentral,2019,158.6
MI-Northeast,2010,135.8
MI-Northeast,2011,127.0
MI-Northeast,2012,116.6
MI-Northeast,2014,124.8
MI-Northeast,2015,127.8
MI-Northeast,2016,117.2
MI-Northeast,2017,136.8
MI-Northeast,2018,125.6
MI-Northeast,2019,132.3
MI-Northwest,2010,126.9
MI-Northwest,2011,111.8
MI-Northwest,2012,87.1
MI-Northwest,2013,103.0
MI-Northwest,2014,114.4
MI-Northwest,2015,120.0
MI-Northwest,2016,100.0
MI-Northwest,2017,129.2
MI-Northwest,2019,127.6
"MI-OtherDistricts,AllCounties",2013,119.6
"MI-OtherDistricts,AllCounties",2018,107.5
MI-SouthCentral,2010,146.4
MI-SouthCentral,2011,150.0
MI-SouthCentral,2012,121.2
MI-SouthCentral,2013,159.9
MI-SouthCentral,2014,161.3
MI-SouthCentral,2015,161.2
MI-SouthCentral,2016,150.0
MI-SouthCentral,2017,148.5
MI-SouthCentral,2018,142.6
MI-SouthCentral,2019,144.5
MI-Southeast,2010,146.5
MI-Southeast,2011,147.0
MI-Southeast,2012,115.0
MI-Southeast,2013,160.0
MI-Southeast,2014,165.8
MI-Southeast,2015,158.4
MI-Southeast,2016,160.0
MI-Southeast,2017,169.6
MI-Southeast,2018,160.5
MI-Southeast,2019,157.3
MI-Southwest,2010,156.5
MI-Southwest,2011,167.0
MI-Southwest,2012,131.4
MI-Southwest,2013,158.9
MI-Southwest,2014,167.0
MI-Southwest,2015,157.4
MI-Southwest,2016,161.4
MI-Southwest,2017,166.0
MI-Southwest,2018,150.7
MI-Southwest,2019,140.6
MI-UpperPeninsula,2010,134.8
MI-UpperPeninsula,2011,70.0
MI-UpperPeninsula,2012,106.9
MI-UpperPeninsula,2014,88.2
MI-UpperPeninsula,2015,137.8
MI-UpperPeninsula,2016,130.0
MI-UpperPeninsula,2017,88.6
MI-UpperPeninsula,2019,91.4
MI-WestCentral,2010,145.2
MI-WestCentral,2011,131.0
MI-WestCentral,2012,129.0
MI-WestCentral,2013,123.8
MI-WestCentral,2014,124.7
MI-WestCentral,2015,134.3
MI-WestCentral,2016,148.5
MI-WestCentral,2017,145.3
MI-WestCentral,2018,125.3
MI-WestCentral,2019,143.0
