region,year,yield_bu_acre
OH-Central,2010,163.5
OH-Central,2011,159.8
OH-Central,2012,124.3
OH-Central,2013,175.4
OH-Central,2014,169.5
OH-Central,2015,163.2
OH-Central,2016,167.4
OH-Central,2017,184.7
OH-Central,2018,187.1
OH-Central,2019,162.3
OH-EastCentral,2010,151.5
OH-EastCentral,2011,143.6
OH-EastCentral,2012,110.9
OH-EastCentral,2013,147.3
OH-EastCentral,2014,156.1
OH-EastCentral,2015,131.9
OH-EastCentral,2016,134.8
OH-EastCentral,2017,168.6
OH-EastCentral,2018,151.4
OH-EastCentral,2019,142.0
OH-NorthCentral,2010,159.3
OH-NorthCentral,2011,160.4
OH-NorthCentral,2012,130.9
OH-NorthCentral,2013,169.8
OH-NorthCentral,2014,169.3
OH-NorthCentral,2015,159.4
OH-NorthCentral,2016,153.0
OH-NorthCentral,2017,175.1
OH-NorthCentral,2018,178.8
OH-NorthCentral,2019,169.8
OH-Northeast,2010,150.9
OH-Northeast,2011,141.5
OH-Northeast,2012,128.4
OH-Northeast,2013,155.8
OH-Northeast,2014,154.2
OH-Northeast,2015,125.5
OH-Northeast,2016,145.3
OH-Northeast,2017,162.1
OH-Northeast,2018,160.0
OH-Northeast,2019,153.6
OH-Northwest,2010,154.9
OH-Northwest,2011,151.9
OH-Northwest,2012,114.3
OH-Northwest,2013,179.0
OH-Northwest,2014,186.9
OH-Northwest,2015,138.7
OH-Northwest,2016,159.6
OH-Northwest,2017,172.1
OH-Northwest,2018,185.0
OH-Northwest,2019,175.0
OH-SouthCentral,2010,144.9
OH-SouthCentral,2011,151.8
OH-SouthCentral,2012,111.1
OH-SouthCentral,2013,173.0
OH-SouthCentral,2014,167.0
OH-SouthCentral,2015,171.1
OH-SouthCentral,2016,163.8
OH-SouthCentral,2017,171.9
OH-SouthCentral,2018,180.0
OH-SouthCentral,2019,165.0
OH-Southeast,2010,152.9
OH-Southeast,2011,144.6
OH-Southeast,2012,116.6
OH-Southeast,2013,158.6
OH-Southeast,2014,158.3
OH-Southeast,2015,155.7
OH-Southeast,2016,150.9
OH-Southeast,2017,172.7
OH-Southeast,2018,163.6
OH-Southeast,2019,165.3
OH-Southwest,2010,168.5
OH-Southwest,2011,150.3
OH-Southwest,2012,108.0
OH-Southwest,2013,180.5
OH-Southwest,2014,189.0
OH-Southwest,2015,171.4
OH-Southwest,2016,177.7
OH-Southwest,2017,185.7
OH-Southwest,2018,200.7
OH-Southwest,2019,176.5
OH-WestCentral,2010,164.2
OH-WestCentral,2011,148.8
OH-WestCentral,2012,119.3
OH-WestCentral,2013,176.9
OH-WestCentral,2014,180.0
OH-WestCentral,2015,151.4
OH-WestCentral,2016,151.7
OH-WestCentral,2017,177.1
OH-WestCentral,2018,201.0
OH-WestCentral,2019,155.2
